name	chrom	chromStart	chromEnd	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	gene_name	readCount_sample_name	isoformPSI_sample_name	CIRI_long_coords	read_id
chrM|13267|13518|1|251|0	chrM	13267	13518	0	+	13267	13267	0,0,0	1	251	0	ENSG00000198786,U5ZC31,ND5	2	1	chrM:13268-13518	67e15b7a-3a2f-45c6-a955-a356ffaaecf2,a6b7205d-9e09-47c0-a465-e84de6c15a02
chrM|5293|5416|1|123|0	chrM	5293	5416	0	+	5293	5293	0,0,0	1	123	0	ENSG00000198763,Q7GXY9,ND2	6	1	chrM:5294-5416	31b76f76-fb62-446f-8bf5-261e48875c2d,f039ae6e-e100-4d7e-a9a1-e4c833a52b23,e8d647a9-7cac-4f37-80b7-99f9bdd614c7,f9a80a2d-8933-44e5-b6c2-f449cb8b09b0,9266a020-46ad-40b5-80b4-a22c84bad9d3,54c7dec9-e282-4135-a6e6-cfe6ad181c32
chr19|1611288|1611387|1|99|0	chr19	1611288	1611387	0	-	1611288	1611288	0,0,0	1	99	0	ENSG00000071564,P15923,A0A0A0MRB7,K7ERZ7,A0A0A0MTS0,K7EMM4,K7ENH8,A0A494C1R3,K7EK65,TCF3	2	2	chr19:1611289-1611387	8dbd2072-10a5-4180-a653-fe97459892f8,08441c6e-0205-461f-b2d8-3b2ea0a98e9f
chr4|39778827|39778945|1|118|0	chr4	39778827	39778945	0	-	39778827	39778827	0,0,0	1	118	0	ENSG00000078140,P61086,ENST00000438068.6,UBE2K	2	2	chr4:39778828-39778945	0122f5c8-b867-4fa1-a482-cd194be37f9d,9fc5a6d0-5cc1-4dd4-8dae-b1702a8b5f69
chr22|38491884|38492002|1|118|0	chr22	38491884	38492002	0	-	38491884	38491884	0,0,0	1	118	0	ENSG00000100201,ENST00000216019.11	2	2	chr22:38491885-38492002	8f398eb7-d984-44e1-a529-3d51304ec80a,4ed798ce-718d-4887-8f48-08d765e9c803
chr6|7181123|7181246|1|123|0	chr6	7181123	7181246	0	+	7181123	7181123	0,0,0	1	123	0	ENSG00000124782,Q92766,C9JE09,C9JPJ6,ENST00000467782.5,ENST00000475946.5,C9JU34,RREB1	2	2	chr6:7181124-7181246	dc65e6e6-eeb0-484f-931f-558a8b5b1ffe,d7e99709-88c6-4e10-8906-829b6de9eaf9
chr16|2966444|2966599|1|155|0	chr16	2966444	2966599	0	.	2966444	2966444	0,0,0	1	155	0	ENSG00000131650,ENST00000572045.5,ENST00000571007.5,ENST00000575885.5,Q8NCW0,ENST00000319500.10,ENST00000575769.1,KREMEN2,G029438	2	2	chr16:2966445-2966599	d4b8c8d6-3ac1-4142-9ce3-9c8e5d2d4c67,b5d13943-795e-4b8b-ab16-5c5c40c9ff09
chr17|82464330|82468863|2|100,100|0,4433	chr17	82464330	82468863	0	+	82464330	82464330	0,0,0	2	100,100	0,4433	ENSG00000141562,J3KS03,Q9UHQ1,J3QL28,J3KS48,A0A088AWN8,E9PH27,E7EP87,J3QSD9,J3KTP5,ENST00000577812.5,ENST00000581743.5,J3KT43,J3KRH7,J3QLT6,J3QRB0,NARF,ENST00000579083.1,ENST00000583181.5,ENST00000584192.5,ENST00000578082.5	2	2	chr17:82464331-82468863	d263c0e1-10e3-46d6-9f68-4832f30ef6e1,0123bc41-a9f3-452e-b655-6193bb6c5762
chr1|156139243|156139366|1|123|0	chr1	156139243	156139366	0	-	156139243	156139243	0,0,0	1	123	0	ENSG00000160789,P02545,ENST00000496738.5,LMNA	2	2	chr1:156139244-156139366	2e5b5fd7-5bf0-4293-bfbd-20dc93900e29,f7e9ad3d-79b5-4287-836a-5e2c536b8133
chr11|69698760|69698918|1|158|0	chr11	69698760	69698918	0	-	69698760	69698760	0,0,0	1	158	0	ENSG00000162344,O95750,FGF19	2	2	chr11:69698761-69698918	b47028cb-e26a-4d2e-9c62-5912d7a9be82,fe23dd75-1043-49ed-89e3-f8fd46b0d93d
