chrom	start	end	name	score	strand	thickStart	thickEnd	itemRgb	exonCount	exonSizes	exonOffsets	exist_in_short_read	first_pass_rescued	second_pass_high_conf_chimeric_support_isocirc	second_pass_high_conf_chimeric_support_ciri_long	second_pass_low_conf_chimeric_support_isocirc	second_pass_low_conf_chimeric_support_ciri_long	final_rescue_status
chr1	100068472	100068586	chr1|100068472|100068586|1|114|0	0	+	0	0	0	1	114	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	100068472	100069685	chr1|100068472|100069685|2|114,72|0,1141	0	+	0	0	0	2	114,72	0,1141	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr1	150823310	150826607	chr1|150823310|150826607|2|35,65|0,3232	0	-	150823310	150823310	0,0,0	2	35,65	0,3232	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	151341937	151342343	chr1|151341937|151342343|1|406|0	0	-	0	0	0	1	406	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr1	154253936	154254864	chr1|154253936|154254864|2|153,29|0,899	0	+	0	0	0	2	153,29	0,899	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr1	155415743	155415923	chr1|155415743|155415923|2|94,35|0,145	0	-	0	0	0	2	94,35	0,145	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr1	155478448	155478602	chr1|155478448|155478602|1|154|0	0	+	0	0	0	1	154	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr1	156139243	156139366	chr1|156139243|156139366|1|123|0	0	-	156139243	156139243	0,0,0	1	123	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr1	16367237	16391424	chr1|16367237|16391424|2|71,50|0,24137	0	+	0	0	0	2	71,50	0,24137	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	20904882	20942330	chr1|20904882|20942330|2|68,153|0,37295	0	-	0	0	0	2	68,153	0,37295	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr1	214390987	214398001	chr1|214390987|214398001|3|58,98,89|0,2707,6925	0	-	0	0	0	3	58,98,89	0,2707,6925	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr1	23030468	23044486	chr1|23030468|23044486|2|57,62|0,13956	0	+	0	0	0	2	57,62	0,13956	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr1	23030468	23050520	chr1|23030468|23050520|2|25,77|0,19975	0	+	0	0	0	2	25,77	0,19975	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr1	23044426	23050520	chr1|23044426|23050520|3|60,107,49|0,2122,6045	0	+	0	0	0	3	60,107,49	0,2122,6045	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	23044426	23050520	chr1|23044426|23050520|3|60,117,36|0,2122,6058	0	+	0	0	0	3	60,117,36	0,2122,6058	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	235437321	235442911	chr1|235437321|235442911|4|13,47,69,60|0,1554,4492,5530	0	+	0	0	0	4	13,47,69,60	0,1554,4492,5530	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr1	27122659	27122901	chr1|27122659|27122901|1|242|0	0	+	0	0	0	1	242	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	27365263	27365427	chr1|27365263|27365427|1|164|0	0	+	0	0	0	1	164	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	3335522	3335656	chr1|3335522|3335656|1|134|0	0	-	3335522	3335522	0,0,0	1	134	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	53803927	53806517	chr1|53803927|53806517|2|67,160|0,2430	0	-	0	0	0	2	67,160	0,2430	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr1	54613182	54613431	chr1|54613182|54613431|1|249|0	0	-	0	0	0	1	249	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	629160	629225	chr1|629160|629225|1|65|0	0	-	629160	629160	0,0,0	1	65	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	633636	633944	chr1|633636|633944|2|15,94|0,214	0	-	0	0	0	2	15,94	0,214	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	633636	633944	chr1|633636|633944|2|35,73|0,235	0	-	0	0	0	2	35,73	0,235	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	633640	633947	chr1|633640|633947|2|31,76|0,231	0	-	0	0	0	2	31,76	0,231	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr1	633895	634048	chr1|633895|634048|1|153|0	0	-	633895	633895	0,0,0	1	153	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr1	633965	634075	chr1|633965|634075|1|110|0	0	-	633965	633965	0,0,0	1	110	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr1	66367695	66367850	chr1|66367695|66367850|1|155|0	0	+	0	0	0	1	155	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr1	8541213	8614686	chr1|8541213|8614686|2|98,44|0,73429	0	-	0	0	0	2	98,44	0,73429	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr1	94185341	94186524	chr1|94185341|94186524|2|140,26|0,1157	0	-	0	0	0	2	140,26	0,1157	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr10	101956596	101957732	chr10|101956596|101957732|2|86,83|0,1053	0	-	0	0	0	2	86,83	0,1053	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr10	102157018	102158214	chr10|102157018|102158214|2|56,121|0,1075	0	+	0	0	0	2	56,121	0,1075	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr10	112527086	112538330	chr10|112527086|112538330|2|78,85|0,11159	0	+	0	0	0	2	78,85	0,11159	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr10	128103907	128104077	chr10|128103907|128104077|1|170|0	0	+	128103907	128103907	0,0,0	1	170	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr10	22550658	22608023	chr10|22550658|22608023|2|89,24|0,57341	0	-	0	0	0	2	89,24	0,57341	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr10	22591477	22591562	chr10|22591477|22591562|1|85|0	0	-	22591477	22591477	0,0,0	1	85	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr10	45877570	45877669	chr10|45877570|45877669|1|99|0	0	.	45877570	45877570	0,0,0	1	99	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr10	68737844	68742569	chr10|68737844|68742569|4|45,33,32,64|0,2784,4531,4661	0	+	0	0	0	4	45,33,32,64	0,2784,4531,4661	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr10	73156274	73156655	chr10|73156274|73156655|2|164,17|0,364	0	-	0	0	0	2	164,17	0,364	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr10	73576221	73576335	chr10|73576221|73576335|1|114|0	0	-	73576221	73576221	0,0,0	1	114	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr11	117167963	117168086	chr11|117167963|117168086|1|123|0	0	-	117167963	117167963	0,0,0	1	123	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr11	119045298	119045449	chr11|119045298|119045449|1|151|0	0	-	0	0	0	1	151	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr11	119287851	119297481	chr11|119287851|119297481|3|95,44,76|0,9066,9554	0	+	0	0	0	3	95,44,76	0,9066,9554	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr11	18700932	18701197	chr11|18700932|18701197|1|265|0	0	+	0	0	0	1	265	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr11	57816920	57817096	chr11|57816920|57817096|1|176|0	0	-	0	0	0	1	176	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr11	57817973	57818213	chr11|57817973|57818213|1|240|0	0	+	0	0	0	1	240	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr11	59649570	59651615	chr11|59649570|59651615|3|40,60,72|0,1183,1973	0	-	59649570	59649570	0,0,0	3	40,60,72	0,1183,1973	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr11	61964986	61965105	chr11|61964986|61965105|1|119|0	0	-	0	0	0	1	119	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr11	65504689	65504837	chr11|65504689|65504837|1|148|0	0	+	65504689	65504689	0,0,0	1	148	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr11	69652730	69652838	chr11|69652730|69652838|1|108|0	0	+	69652730	69652730	0,0,0	1	108	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr11	69698760	69698918	chr11|69698760|69698918|1|158|0	0	-	69698760	69698760	0,0,0	1	158	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr11	74859157	74863021	chr11|74859157|74863021|2|75,41|0,3823	0	-	0	0	0	2	75,41	0,3823	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr11	76463999	76464087	chr11|76463999|76464087|1|88|0	0	+	76463999	76463999	0,0,0	1	88	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr11	77661391	77661481	chr11|77661391|77661481|1|90|0	0	-	77661391	77661391	0,0,0	1	90	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr11	95779606	95788563	chr11|95779606|95788563|5|81,48,153,39,40|0,272,3458,6512,8917	0	-	0	0	0	5	81,48,153,39,40	0,272,3458,6512,8917	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr12	106870759	106870913	chr12|106870759|106870913|1|154|0	0	-	106870759	106870759	0,0,0	1	154	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr12	120097245	120097373	chr12|120097245|120097373|1|128|0	0	-	120097245	120097245	0,0,0	1	128	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr12	132126393	132126513	chr12|132126393|132126513|1|120|0	0	+	132126393	132126393	0,0,0	1	120	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr12	56110558	56110692	chr12|56110558|56110692|1|134|0	0	+	56110558	56110558	0,0,0	1	134	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr12	64080295	64091372	chr12|64080295|64091372|3|75,28,97|0,6703,10980	0	+	64080295	64080295	0,0,0	3	75,28,97	0,6703,10980	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr12	6769602	6769999	chr12|6769602|6769999|2|72,79|0,318	0	+	0	0	0	2	72,79	0,318	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr12	6769617	6769999	chr12|6769617|6769999|2|57,79|0,303	0	+	0	0	0	2	57,79	0,303	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr12	6769920	6769999	chr12|6769920|6769999|1|79|0	0	+	0	0	0	1	79	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr12	6769981	6770218	chr12|6769981|6770218|2|18,62|0,175	0	+	0	0	0	2	18,62	0,175	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr12	79591096	79591304	chr12|79591096|79591304|1|208|0	0	.	79591096	79591096	0,0,0	1	208	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr12	93502886	93502970	chr12|93502886|93502970|1|84|0	0	-	93502886	93502886	0,0,0	1	84	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr13	21375335	21375509	chr13|21375335|21375509|1|174|0	0	-	21375335	21375335	0,0,0	1	174	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr13	29511964	29512070	chr13|29511964|29512070|1|106|0	0	-	29511964	29511964	0,0,0	1	106	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr13	97990125	97992960	chr13|97990125|97992960|3|97,105,69|0,307,2766	0	+	0	0	0	3	97,105,69	0,307,2766	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr14	70988566	71009724	chr14|70988566|71009724|2|45,91|0,21067	0	+	0	0	0	2	45,91	0,21067	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr14	73879095	73880176	chr14|73879095|73880176|2|30,153|0,928	0	+	0	0	0	2	30,153	0,928	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr14	73879095	73880176	chr14|73879095|73880176|2|30,158|0,923	0	+	0	0	0	2	30,158	0,923	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr14	73879095	73880176	chr14|73879095|73880176|2|40,122|0,959	0	+	0	0	0	2	40,122	0,959	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr14	73879095	73880176	chr14|73879095|73880176|2|40,137|0,944	0	+	0	0	0	2	40,137	0,944	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr14	73879095	73880176	chr14|73879095|73880176|2|40,140|0,941	0	+	0	0	0	2	40,140	0,941	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr14	73879095	73880176	chr14|73879095|73880176|2|40,141|0,940	0	+	0	0	0	2	40,141	0,940	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr14	73879095	73880176	chr14|73879095|73880176|2|40,142|0,939	0	+	0	0	0	2	40,142	0,939	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr14	73879095	73880176	chr14|73879095|73880176|2|40,144|0,937	0	+	0	0	0	2	40,144	0,937	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr14	73879095	73880176	chr14|73879095|73880176|2|40,153|0,928	0	+	0	0	0	2	40,153	0,928	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr14	73879095	73880176	chr14|73879095|73880176|2|63,110|0,971	0	+	0	0	0	2	63,110	0,971	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr15	40253177	40253289	chr15|40253177|40253289|1|112|0	0	+	0	0	0	1	112	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr15	44497026	44503850	chr15|44497026|44503850|2|43,297|0,6527	0	+	0	0	0	2	43,297	0,6527	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr15	49137149	49139653	chr15|49137149|49139653|2|44,126|0,2378	0	-	0	0	0	2	44,126	0,2378	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr16	11895488	11904660	chr16|11895488|11904660|2|133,55|0,9117	0	+	0	0	0	2	133,55	0,9117	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr16	2966444	2966599	chr16|2966444|2966599|1|155|0	0	.	2966444	2966444	0,0,0	1	155	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr16	3021554	3021689	chr16|3021554|3021689|1|135|0	0	+	0	0	0	1	135	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr16	3675323	3676110	chr16|3675323|3676110|2|74,75|0,712	0	-	0	0	0	2	74,75	0,712	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr16	56466151	56476170	chr16|56466151|56476170|3|117,68,90|0,724,9929	0	+	0	0	0	3	117,68,90	0,724,9929	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr16	68121986	68123121	chr16|68121986|68123121|2|34,312|0,823	0	+	0	0	0	2	34,312	0,823	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr16	69120353	69120508	chr16|69120353|69120508|1|155|0	0	+	0	0	0	1	155	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr16	89740803	89742938	chr16|89740803|89742938|2|63,139|0,1996	0	-	0	0	0	2	63,139	0,1996	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr16	9105767	9105869	chr16|9105767|9105869|1|102|0	0	+	9105767	9105767	0,0,0	1	102	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr17	40476285	40476439	chr17|40476285|40476439|1|154|0	0	+	0	0	0	1	154	0	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr17	41757633	41758870	chr17|41757633|41758870|3|151,120,156|0,765,1081	0	-	0	0	0	3	151,120,156	0,765,1081	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr17	50073584	50073719	chr17|50073584|50073719|1|135|0	0	.	50073584	50073584	0,0,0	1	135	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr17	82464330	82468863	chr17|82464330|82468863|2|100,100|0,4433	0	+	82464330	82464330	0,0,0	2	100,100	0,4433	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	second_pass_chimeric_support
chr17	82763964	82768566	chr17|82763964|82768566|2|98,133|0,4469	0	+	0	0	0	2	98,133	0,4469	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr18	36807846	36818973	chr18|36807846|36818973|2|88,80|0,11047	0	-	0	0	0	2	88,80	0,11047	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	second_pass_chimeric_support
chr18	37066867	37084232	chr18|37066867|37084232|3|48,35,108|0,643,17257	0	+	0	0	0	3	48,35,108	0,643,17257	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr18	49929511	49937397	chr18|49929511|49937397|3|87,90,106|0,6740,7780	0	-	0	0	0	3	87,90,106	0,6740,7780	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	first_pass_rescued
chr18	9258148	9258281	chr18|9258148|9258281|1|133|0	0	+	9258148	9258148	0,0,0	1	133	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr19	15265567	15267544	chr19|15265567|15267544|2|76,129|0,1848	0	-	15265567	15265567	0,0,0	2	76,129	0,1848	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr19	1611288	1611387	chr19|1611288|1611387|1|99|0	0	-	1611288	1611288	0,0,0	1	99	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
chr19	18564868	18565021	chr19|18564868|18565021|1|153|0	0	+	0	0	0	1	153	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	second_pass_high_conf_chimeric_support
chr19	39384044	39384107	chr19|39384044|39384107|1|63|0	0	-	39384044	39384044	0,0,0	1	63	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	novel_in_long_read
