isoformID	chrom	startCoor0based	endCoor	geneStrand	geneID	geneName	blockCount	blockSize	blockStarts	refMapLen	blockType	blockAnno	isKnownSS	isKnownFSJ	canoFSJMotif	isKnownExon	isKnownBSJ	isCanoBSJ	canoBSJMotif	BSJCate	FSJCate	readCount	readIDs	isoCirc_coords	bsj_region
chr1|100068472|100068586|1|114|0	chr1	100068472	100068586	+,+,+,+,+,+,+,+,+,+,+	ENSG00000156875,A0A1W2PPG9,A0A1W2PQ13,A0A1W2PSA9,A0A1W2PQD6,A0A1W2PS45,A0A1W2PS77,A0A1C7CYW3,A0A1W2PPE6,Q96MC6,MFSD14A	ENSG00000156875,A0A1W2PPG9,A0A1W2PQ13,A0A1W2PSA9,A0A1W2PQD6,A0A1W2PS45,A0A1W2PS77,A0A1C7CYW3,A0A1W2PPE6,Q96MC6,MFSD14A	1	114	0	114	N	ENST00000370152:E7(114);ENST00000638968.1:E15(114);ENST00000638792.1:E12(114);ENST00000639037.1:E12(114);ENST00000639040.1:E11(114);ENST00000638779.1:E13(114);ENST00000639171.1:E12(114);ENST00000640238.1:E13(114);ENST00000640357.1:E13(114);ENST00000370152.8:E7(114);XM_017002084.1:E8(114);XM_005271118.1:E8(114);NM_033055.3:E7(114);NM_033055:E7(114)	True,True	NA	NA	True	False	True	+GT/AG	NIC	FSM	1	9900a7a1-ad2b-4af1-8220-4cbc26730905	chr110006847210006858611140	chr1:100068472:100068586
chr1|100068472|100069685|2|114,72|0,1141	chr1	100068472	100069685	+,+,+,+,+,+,+,+,+,+	ENSG00000156875,A0A1W2PPG9,A0A1W2PSA9,A0A1W2PQD6,A0A1W2PS45,A0A1W2PS77,A0A1C7CYW3,A0A1W2PPE6,Q96MC6,MFSD14A	ENSG00000156875,A0A1W2PPG9,A0A1W2PSA9,A0A1W2PQD6,A0A1W2PS45,A0A1W2PS77,A0A1C7CYW3,A0A1W2PPE6,Q96MC6,MFSD14A	2	114,72	0,1141	186	N,N	ENST00000370152:E7(114);ENST00000638968.1:E15(114);ENST00000638792.1:E12(114);ENST00000639037.1:E12(114);ENST00000639040.1:E11(114);ENST00000638779.1:E13(114);ENST00000639171.1:E12(114);ENST00000640238.1:E13(114);ENST00000640357.1:E13(114);ENST00000370152.8:E7(114);XM_017002084.1:E8(114);XM_005271118.1:E8(114);NM_033055.3:E7(114);NM_033055:E7(114),ENST00000370152:E8(72);ENST00000638968.1:E16(72);ENST00000639037.1:E13(72);ENST00000639040.1:E12(72);ENST00000638779.1:E14(72);ENST00000639171.1:E13(72);ENST00000640238.1:E14(72);ENST00000640357.1:E14(72);ENST00000370152.8:E8(72);XM_017002084.1:E9(72);XM_005271118.1:E9(72);NM_033055.3:E8(72);XM_011541957.1:E7(72);NM_033055:E8(72)	True,True,True,True	True	+GT/AG	True,True	False	True	+GT/AG	NIC	FSM	1	48b5f283-b7ee-419b-bdc0-e0c208114bd7	chr11000684721000696852114,720,1141	chr1:100068472:100069685
chr1|151341937|151342343|1|406|0	chr1	151341937	151342343	NA	NA	NA	1	406	0	406	N	ENST00000290524:E11(406);ENST00000422153:E2(29)+I(377);ENST00000368870:E11(406);ENST00000452671:I(22)+E11(384);ENST00000436637:I(22)+E7(126)+I(258);ENST00000392746:I(309)+E11(97);ENST00000290524.8:E11(406);ENST00000422153.1:E2(29)+I(377);ENST00000368870.6:E11(406);ENST00000436637.5:I(22)+E7(126)+I(258);ENST00000452671.6:I(22)+E11(384);ENST00000392746.7:I(309)+E11(97);NM_001379416.1:E11(406);NM_001379414.1:E11(406);NM_001379412.1:E11(406);NM_001379420.1:E10(406);XM_017001999.1:E11(406);NM_001379418.1:E11(406);NM_001379415.1:E11(406);NM_001379417.1:E11(406);NM_001379413.1:E11(406);NM_000449.4:E11(406);NM_001025603.2:E11(406);NM_001379419.1:E10(406);XM_017002000.1:E11(406);XM_024448791.1:E11(406);NM_000449:E11(406);NM_001025603:E11(406)	False,False	NA	NA	False	False	True	-GT/AG	NNC	FSM	1	cb515ca5-6328-4909-8cda-b7717309dc99	chr115134193715134234314060	chr1:151341937:151342343
chr1|154253936|154254864|2|153,29|0,899	chr1	154253936	154254864	+,+,+,+	ENSG00000143569,Q14157,F8W726,UBAP2L	ENSG00000143569,Q14157,F8W726,UBAP2L	2	153,29	0,899	182	N,N	ENST00000343815:E15(153);ENST00000271877:E15(153);ENST00000613315:E15(153);ENST00000428931:E15(153);ENST00000361546:E14(153);ENST00000343815.10:E15(153);ENST00000613315.4:E15(153);ENST00000271877.11:E15(153);ENST00000428931.6:E15(153);ENST00000361546.6:E14(153);NM_001375631.1:E15(153);NM_001375622.1:E15(153);NM_001375619.1:E15(153);XM_017002972.2:E15(153);NM_001375629.1:E15(153);NM_001375630.1:E15(153);NM_001375620.1:E15(153);NM_001375615.1:E15(153);NM_014847.4:E15(153);NM_001375614.1:E15(153);XM_024451291.1:E16(153);NM_001375617.1:E15(153);NM_001375612.1:E15(153);NM_001375621.1:E15(153);NM_001375616.1:E15(153);NM_001375618.1:E15(153);NM_001375626.1:E15(153);NM_001375628.1:E15(153);NM_001375624.1:E15(153);NM_001375627.1:E15(153);NM_001375623.1:E15(153);NM_001375625.1:E15(153);XM_005245673.4:E15(153);XM_011510215.3:E15(153);XM_005245667.4:E15(153);XM_005245669.4:E15(153);XM_005245668.4:E15(153);XM_005245672.4:E15(153);XM_017002982.2:E15(153);NM_001287815.1:E15(153);NM_001287816.1:E15(153);NM_001330730.1:E15(153);XM_017002976.1:E15(153);NM_001127320.3:E15(153);NM_001375625:E15(153);NM_001287816:E15(153);NM_001375621:E15(153);NM_001330730:E15(153);NM_001375628:E15(153);NM_001375631:E15(153);NM_001375622:E15(153);NM_001375624:E15(153);NM_014847:E15(153);NM_001375623:E15(153);NM_001375618:E15(153);NM_001375627:E15(153);NM_001375614:E15(153);NM_001127320:E15(153);NM_001375619:E15(153);NM_001375616:E15(153);NM_001287815:E15(153);NM_001375626:E15(153);NM_001375617:E15(153);NM_001375620:E15(153);NM_001375630:E15(153);NM_001375612:E15(153);NM_001375615:E15(153);NM_001375629:E15(153),ENST00000343815:E16(29);ENST00000271877:E16(29);ENST00000613315:E16(29);ENST00000428931:E16(29);ENST00000361546:E15(29);ENST00000495676:E1(29);ENST00000343815.10:E16(29);ENST00000613315.4:E16(29);ENST00000271877.11:E16(29);ENST00000428931.6:E16(29);ENST00000361546.6:E15(29);ENST00000495676.5:E1(29);NM_001375631.1:E16(29);NM_001375622.1:E16(29);NM_001375619.1:E16(29);XM_017002972.2:E16(29);NM_001375629.1:E16(29);NM_001375630.1:E16(29);NM_001375620.1:E16(29);NM_001375615.1:E16(29);NM_014847.4:E16(29);NM_001375614.1:E16(29);XM_024451291.1:E17(29);NM_001375617.1:E16(29);NM_001375612.1:E16(29);NM_001375621.1:E16(29);NM_001375616.1:E16(29);NM_001375618.1:E16(29);NM_001375626.1:E16(29);NM_001375628.1:E16(29);NM_001375624.1:E16(29);NM_001375627.1:E16(29);NM_001375623.1:E16(29);NM_001375625.1:E16(29);XM_005245673.4:E16(29);XM_011510215.3:E16(29);XM_005245667.4:E16(29);XM_005245669.4:E16(29);XM_005245668.4:E16(29);XM_005245672.4:E16(29);XM_017002982.2:E16(29);NM_001287815.1:E16(29);NM_001287816.1:E16(29);NM_001330730.1:E16(29);XM_017002976.1:E16(29);NM_001127320.3:E16(29);NM_001375625:E16(29);NM_001287816:E16(29);NM_001375621:E16(29);NM_001330730:E16(29);NM_001375628:E16(29);NM_001375631:E16(29);NM_001375622:E16(29);NM_001375624:E16(29);NM_014847:E16(29);NM_001375623:E16(29);NM_001375618:E16(29);NM_001375627:E16(29);NM_001375614:E16(29);NM_001127320:E16(29);NM_001375619:E16(29);NM_001375616:E16(29);NM_001287815:E16(29);NM_001375626:E16(29);NM_001375617:E16(29);NM_001375620:E16(29);NM_001375630:E16(29);NM_001375612:E16(29);NM_001375615:E16(29);NM_001375629:E16(29)	False,True,True,False	True	+GT/AG	False,False	False	True	+GT/AG	NNC	FSM	1	ac8edb7b-ae28-45e6-a169-f299eb03998e	chr11542539361542548642153,290,899	chr1:154253936:154254864
chr1|155415743|155415923|2|94,35|0,145	chr1	155415743	155415923	-,-,-	ENSG00000116539,Q9NR48,ASH1L	ENSG00000116539,Q9NR48,ASH1L	2	94,35	0,145	129	N,N	ENST00000368346:E6(94);ENST00000392403:E6(94);ENST00000368346.7:E6(94);ENST00000392403.8:E6(94);XM_017001787.2:E6(94);XM_017001786.2:E6(94);NM_001366177.2:E6(94);NM_018489.3:E6(94);XM_017001788.1:E3(94);XM_011509770.3:E5(94);XM_006711451.3:E7(94);XM_006711450.3:E6(94);XM_017001784.1:E7(94);XM_017001785.1:E6(94);NM_018489:E6(94);NM_001366177:E6(94),ENST00000368346:E6(35);ENST00000392403:E6(35);ENST00000368346.7:E6(35);ENST00000392403.8:E6(35);XM_017001787.2:E6(35);XM_017001786.2:E6(35);NM_001366177.2:E6(35);NM_018489.3:E6(35);XM_017001788.1:E3(35);XM_011509770.3:E5(35);XM_006711451.3:E7(35);XM_006711450.3:E6(35);XM_017001784.1:E7(35);XM_017001785.1:E6(35);NM_018489:E6(35);NM_001366177:E6(35)	True,False,False,True	False	+GC/AG	False,False	False	True	-GT/AG	NIC	NNC	80	be38bd4a-8735-4406-a5d8-4de6e8a4dec8,d633eaf5-988c-4c4d-8833-40a9b685f254,c667e8b1-0820-4bdd-a14d-5e7071a54b83,98595787-8379-4c12-ac5b-3a9ab61aec42,3931b53f-aee4-443d-affc-51c4ec0f93d7,d3600d61-3286-4daf-b80f-843284d1e85a,8ed3480c-68bb-4cd8-8b25-fa2a4c6f3685,d7150230-3ded-478d-a9f8-c637646f2afe,b8d2d2ca-0ab7-4c90-9671-88069e7f8037,f4267d5f-af42-4532-8308-53ff39bd08d5,07ac97d2-0cad-4c9c-985d-14d325ac81e8,543558b7-6667-4d63-80d1-801efb33d400,2716d866-5335-4a80-a8b4-6e66ce30b007,404523de-4e5b-49d1-b1e2-0d1039fe3cf6,db5b0350-98b9-4ffb-a531-6658fe9e190b,e771eb16-f545-40c6-a4cf-2e5a8b320d14,3410ad21-8cf7-477c-99c2-c9ae9e14f2d0,8a9a6776-1870-4239-a67d-a04b94d3b4db,1ca0d36f-00d1-45c0-a41f-95ec6935a156,0f1b0183-982b-48a4-a777-08dfee8e2630,f07a9541-642b-45dd-8acf-a6af8a338da3,e9bc082f-f42c-4161-a7c9-1e3a250b0f75,a2ae12ab-7533-4f6b-8f63-51edccc578c9,9066d55a-6209-4a9f-84c3-ddf5312c6ac1,9563e2dc-8288-4bcd-9b8a-6150b5ac7d5b,bb8c31fa-6bbb-41aa-94a0-02cfda041ca0,da12c505-f9bb-4ced-979e-fb4427a72bf7,1953b9ad-ad9d-4f54-a8ff-69bff9b7b144,89068807-2820-4c96-b102-e6e92eb608f2,9bf8e0a5-fe6c-498c-aa13-2714dcf867f1,8ebecd45-b635-425f-83d8-ebcdb2ce6eb2,94358a52-877a-4816-a55d-34b25772786e,06a657ff-d8b8-4f5a-855f-0ac155a1caa1,886afdd8-b2d0-470f-9032-f9db9a229934,870be8e9-2b3b-428d-94fa-4baa49adf8b9,cf031107-2f35-4f9c-895b-3a734f8ebfaa,14a6da23-f779-4439-bcc7-94fe92b756a7,491100ff-ca16-461c-b061-616ff074555e,25c0a016-7b96-4737-a2f5-a575051ec329,c2cf3fa2-c0dd-4828-bfab-7ff4a90d6e6c,f3930ffb-daac-41a4-9f2c-971cf6be7ff7,36c9596e-0a65-438a-90a9-440f22f08059,d2a4080b-199e-4725-a99b-a524d5ccfc43,33f2fe41-5100-4ce2-bcd4-ef978d73b96b,4f4f371f-b579-4491-b591-2fe538fad939,00f25079-2bb6-4537-b5b4-722b9153f2c6,5d694108-fcc1-4f0e-915d-646aa197b895,447ea1d4-b07e-4339-b7e4-0e2af0457c9c,366ba97c-8a68-421e-a520-8fa7e8c0b637,2098d7b5-9c3e-4d1c-b080-07de9becd5d0,cd055d70-594b-4ee3-8cdc-7fe66e1e6809,79a3a2d6-3571-42e0-8399-edeea13cd9f0,8a762e0c-8069-4e95-b931-fe5d4fb2720f,c9fb74e3-ce7f-4631-ac11-3931f358ad5b,3036efe4-3cfb-4514-95a5-f8e71d9f89ba,4758d14e-a4dd-44f3-a4c8-2d44f7edcb15,3cda5e93-cfc3-4731-9ed4-8023d20e8830,17863f79-5ae1-45c3-a5a6-b1507b669a89,8f9a4a3f-8039-4bcc-9554-e3ef8cbe1a64,ce34ea5b-c8a1-4406-9f9f-5a2b4c65cd1c,1caecd75-5037-4d5f-ae73-914e3fc94239,85d43b3f-0cec-4f20-b0db-3bf00eec8df7,db16bd6f-c292-4e58-8469-3f8507e7614a,e25d5019-4e26-440c-8b1b-f66bf6766cd4,064b3c9f-58ee-469c-b456-15badd89e6a7,d7a3380a-ea40-4840-8037-20c6eeeaac17,081c1269-ed12-4a61-b70f-5d427400ab82,b8bba853-2d32-45f3-9829-474e08d53d29,3651221c-6db0-44c3-81e0-ffad7316b6bf,83bc7355-7168-4a36-a43f-0a9e5db13e84,7c6185be-7186-4a3f-ae26-7eb3d1ea65dc,95fe879f-4499-4d2e-a7bb-245f19aa4bf5,96e090b2-5e46-4fcf-9c09-82f108ac360d,c6184be6-c91a-4d9e-b328-6e2ac455d876,2d3e5a79-d8ee-440d-8caf-97d4b934d54a,239b9e78-c9bc-475d-833b-b30a2f032494,dd092303-77a4-4a65-a211-6ef5af78a0a3,e007c03e-f0cc-46f9-84e3-a5e28b420722,5cd19bfc-ce8c-41ac-89f2-4c70333d951e,27f9fd53-d9fa-46bb-9156-71ddf8dec7dd	chr1155415743155415923294,350,145	chr1:155415743:155415923
chr1|155478448|155478602|1|154|0	chr1	155478448	155478602	NA	NA	NA	1	154	0	154	N	ENST00000368346:E3(154);ENST00000392403:E3(154);ENST00000368346.7:E3(154);ENST00000392403.8:E3(154);XM_011509769.3:E3(154);XM_005245337.5:E3(154);XM_017001787.2:E3(154);XM_017001786.2:E3(154);NM_001366177.2:E3(154);NM_018489.3:E3(154);XM_006711452.4:E3(154);XM_006711451.3:E4(154);XM_006711450.3:E3(154);XM_017001784.1:E4(154);XM_017001785.1:E3(154);NM_018489:E3(154);NM_001366177:E3(154)	False,False	NA	NA	False	False	True	+GT/AG	NNC	FSM	1	ce882e07-6945-4f7d-8aae-e6ff5c94e6cd	chr115547844815547860211540	chr1:155478448:155478602
chr1|16367237|16391424|2|71,50|0,24137	chr1	16367237	16391424	+,+,+,+,+,+,+	ENSG00000055070,Q7Z422,ENST00000486763.5,F8WDF4,ENST00000475554.5,ENST00000472351.5,SZRD1	ENSG00000055070,Q7Z422,ENST00000486763.5,F8WDF4,ENST00000475554.5,ENST00000472351.5,SZRD1	2	71,50	0,24137	121	N,N	ENST00000401088:E1(71);ENST00000471507:E1(71);ENST00000401089:E1(71);ENST00000486763:E1(71);ENST00000475554:I(5)+E1(66);ENST00000476423:I(5)+E1(66);ENST00000472351:I(9)+E1(62);ENST00000492354:I(27)+E1(44);ENST00000471507.5:E1(71);ENST00000401089.3:E1(71);ENST00000486763.5:E1(71);ENST00000401088.9:I(4)+E1(67);ENST00000476423.5:I(5)+E1(66);ENST00000475554.5:I(5)+E1(66);ENST00000472351.5:I(9)+E1(62);ENST00000492354.1:I(27)+E1(44);NM_001271869.2:I(4)+E1(67);NM_001114600.3:I(4)+E1(67);NR_073500.2:I(4)+E1(67);NR_073503.2:I(4)+E1(67);NR_073502.2:I(4)+E1(67);NR_073501.2:I(4)+E1(67);NR_073501:I(4)+E1(67);NM_001271869:I(4)+E1(67);NR_073503:I(4)+E1(67);NR_073502:I(4)+E1(67);NR_073500:I(4)+E1(67);NM_001114600:I(4)+E1(67),ENST00000401088:E2(50);ENST00000471507:E2(50);ENST00000486763:E3(50);ENST00000475554:E3(50);ENST00000476423:E3(50);ENST00000472351:E3(50);ENST00000472461:E2(50);ENST00000471507.5:E2(50);ENST00000486763.5:E3(50);ENST00000401088.9:E2(50);ENST00000476423.5:E3(50);ENST00000475554.5:E3(50);ENST00000472351.5:E3(50);ENST00000472461.1:E2(50);NM_001271869.2:E2(50);NM_001114600.3:E2(50);NR_073501.2:E3(50);NR_073501:E3(50);NM_001271869:E2(50);NM_001114600:E2(50)	False,True,True,True	True	+GT/AG	False,True	False	True	+GT/AG	NNC	FSM	1	375172a6-59d7-476a-947b-277fbc3c5671	chr11636723716391424271,500,24137	chr1:16367237:16391424
chr1|20904882|20942330|2|68,153|0,37295	chr1	20904882	20942330	-,-,-,-,-	ENSG00000075151,O43432,A0A0A0MSA7,A0A0U1RQK7,EIF4G3	ENSG00000075151,O43432,A0A0A0MSA7,A0A0U1RQK7,EIF4G3	2	68,153	0,37295	221	N,N	ENST00000374935:E11(68);ENST00000400422:E12(68);ENST00000264211:E9(68);ENST00000602326:E13(68);ENST00000496705:E1(55)+I(13);ENST00000374933:E2(68);ENST00000374935.7:E11(68);ENST00000264211.12:E9(68);ENST00000602326.5:E13(68);ENST00000400422.6:E12(68);ENST00000634879.1:E12(68);ENST00000374933.3:E2(68);XM_017002710.2:E15(68);XM_017002711.2:E15(68);XM_017002677.2:E13(68);XM_011542371.2:E13(68);XM_017002689.2:E15(68);XM_017002699.2:E15(68);XM_017002709.2:E12(68);NM_001391897.1:E13(68);NM_001391906.1:E15(68);NM_001391907.1:E14(68);NM_001391902.1:E13(68);NM_001391898.1:E13(68);NM_001391901.1:E13(68);NM_001391904.1:E12(68);NM_001391892.1:E12(68);NM_001391900.1:E12(68);NM_001391896.1:E12(68);NM_001391905.1:E14(68);NM_001391894.1:E12(68);NM_001391903.1:E12(68);NM_001391893.1:E10(68);NM_001391899.1:E10(68);XM_011542381.3:E2(68);XM_017002703.2:E10(68);XM_017002672.2:E16(68);XM_017002684.2:E14(68);XM_011542375.3:E12(68);XM_017002704.2:E14(68);XM_011542370.2:E15(68);XM_017002705.2:E14(68);XM_017002706.2:E14(68);XM_011542356.3:E15(68);XM_011542361.3:E15(68);XM_017002674.2:E14(68);XM_017002682.2:E14(68);XM_017002675.2:E14(68);XM_017002685.2:E14(68);XM_017002686.2:E14(68);XM_017002676.2:E13(68);XM_017002691.2:E13(68);XM_017002679.2:E14(68);XM_017002694.2:E14(68);XM_017002681.2:E14(68);XM_017002695.2:E14(68);XM_017002683.2:E13(68);XM_017002696.2:E13(68);XM_017002697.2:E13(68);XM_017002687.2:E13(68);XM_017002690.2:E13(68);XM_017002707.2:E11(68);XM_017002708.2:E11(68);XM_017002702.2:E11(68);XM_017002693.2:E11(68);XM_011542374.2:E12(68);NM_003760.4:E10(68);NM_001198802.2:E13(68);NM_001198801.2:E12(68);XR_002957947.1:E16(68);XR_002957948.1:E13(68);NM_001198801:E12(68);NM_001198802:E13(68);NM_003760:E10(68),ENST00000400422:E11(153);ENST00000264211:E8(153);ENST00000602326:E12(153);ENST00000356916:E14(153);ENST00000264211.12:E8(153);ENST00000602326.5:E12(153);ENST00000400422.6:E11(153);ENST00000634879.1:E11(153);ENST00000356916.7:E14(153);XM_024450533.1:E14(153);NM_001198803.2:E12(153);NM_001391895.1:E11(153);XM_017002710.2:E14(153);XM_017002711.2:E14(153);XM_017002677.2:E12(153);XM_011542371.2:E12(153);XM_017002689.2:E14(153);XM_017002699.2:E14(153);XM_017002709.2:E11(153);NM_001391897.1:E12(153);NM_001391906.1:E14(153);NM_001391907.1:E13(153);NM_001391902.1:E12(153);NM_001391898.1:E12(153);NM_001391901.1:E12(153);NM_001391904.1:E11(153);NM_001391892.1:E11(153);NM_001391900.1:E11(153);NM_001391896.1:E11(153);NM_001391905.1:E13(153);NM_001391894.1:E11(153);NM_001391903.1:E11(153);NM_001391893.1:E9(153);NM_001391899.1:E9(153);XM_017002703.2:E9(153);XM_017002672.2:E15(153);XM_017002684.2:E13(153);XM_011542375.3:E11(153);XM_017002704.2:E13(153);XM_011542370.2:E14(153);XM_011542356.3:E14(153);XM_011542361.3:E14(153);XM_017002674.2:E13(153);XM_017002682.2:E13(153);XM_017002675.2:E13(153);XM_017002685.2:E13(153);XM_017002686.2:E13(153);XM_017002676.2:E12(153);XM_017002691.2:E12(153);XM_017002679.2:E13(153);XM_017002694.2:E13(153);XM_017002681.2:E13(153);XM_017002695.2:E13(153);XM_017002683.2:E12(153);XM_017002696.2:E12(153);XM_017002697.2:E12(153);XM_017002687.2:E12(153);XM_017002690.2:E12(153);XM_017002702.2:E10(153);XM_017002693.2:E10(153);XM_011542374.2:E11(153);NM_003760.4:E9(153);NM_001198802.2:E12(153);NM_001198801.2:E11(153);XR_002957947.1:E14(153);XR_002957948.1:E11(153);NM_001198801:E11(153);NM_001198802:E12(153);NM_001198803:E12(153);NM_003760:E9(153)	True,False,False,True	False	+GT/AG	False,False	True	True	-GT/AG	FSM	NNC	1	0b269482-7f5d-413a-b2a3-4e605e5effe3	chr12090488220942330268,1530,37295	chr1:20904882:20942330
chr1|214390987|214398001|3|58,98,89|0,2707,6925	chr1	214390987	214398001	-,-,-,-	ENSG00000152104,Q15678,E2J9M0,PTPN14	ENSG00000152104,Q15678,E2J9M0,PTPN14	3	58,98,89	0,2707,6925	245	N,N,N	ENST00000366956:E11(58);ENST00000543945:E10(58);ENST00000366956.10:E11(58);ENST00000543945.5:E10(58);XM_024448759.1:E13(58);XM_017001941.1:E12(58);NM_005401.5:E11(58);NM_005401:E11(58),ENST00000366956:E10(83)+I(15);ENST00000543945:E9(83)+I(15);ENST00000366956.10:E10(83)+I(15);ENST00000543945.5:E9(83)+I(15);XM_024448759.1:E12(83)+I(15);XM_017001941.1:E11(83)+I(15);NM_005401.5:E10(83)+I(15);NM_005401:E10(83)+I(15),ENST00000366956:E8(89);ENST00000543945:E7(89);ENST00000366956.10:E8(89);ENST00000543945.5:E7(89);XM_024448759.1:E10(89);XM_017001941.1:E9(89);NM_005401.5:E8(89);NM_005401:E8(89)	True,True,True,False,True,True	True,False	-GT/AG,NA	True,False,True	False	True	-GT/AG	NIC	NNC	2	6598259f-f4eb-430c-bcfd-6e62bc8ae442,837646c9-bb94-457a-8fac-e66ebc0a4f21	chr1214390987214398001358,98,890,2707,6925	chr1:214390987:214398001
chr1|23030468|23050520|2|25,77|0,19975	chr1	23030468	23050520	+,+,+,+	ENSG00000004487,R4GMQ1,O60341,KDM1A	ENSG00000004487,R4GMQ1,O60341,KDM1A	2	25,77	0,19975	102	N,N	ENST00000356634:E2(25);ENST00000400181:E2(25);ENST00000465864.2:E2(25);ENST00000356634.7:E2(25);ENST00000400181.8:E2(25);NM_015013.4:E2(25);NM_001363654.2:E2(25);NM_001009999.3:E2(25);XM_006710473.3:E2(25);XM_017000717.1:E2(25);XM_005245786.2:E2(25);XM_017000716.1:E2(25);XM_006710474.3:E2(25);NM_015013:E2(25);NM_001009999:E2(25);NM_001363654:E2(25),ENST00000356634:E3(77);ENST00000400181:E4(77);ENST00000481879:E1(77);ENST00000465864.2:E3(77);ENST00000356634.7:E3(77);ENST00000400181.8:E4(77);ENST00000481879.1:E1(77);NM_015013.4:E3(77);NM_001363654.2:E3(77);NM_001009999.3:E4(77);XM_006710473.3:E4(77);XM_017000717.1:E3(77);XM_005245786.2:E4(77);XM_017000716.1:E4(77);XM_006710474.3:E4(77);NM_015013:E3(77);NM_001009999:E4(77);NM_001363654:E3(77)	True,False,False,True	False	+GC/AG	False,False	True	True	+GT/AG	FSM	NNC	3	7634bd9a-df1b-440f-aa3b-c4fc0fbd880b,b1685b1e-bc8b-48bc-a0f7-4312a159c7eb,1695f039-d20c-4804-90c9-d0bd92e32fa4	chr12303046823050520225,770,19975	chr1:23030468:23050520
