chrom	start	end	name	score	strand	thickStart	thickEnd	itemRgb	exonCount	exonSizes	exonOffsets	circType	geneName	isoformName	index	flankIntron	short_uniq_identifier	long_uniq_identifier	readNumber_HCT116_Illumina_TruSeq_R1	readNumber_HCT116_New_England_R1	rescued	exist_in_short_read	rescue_status
chr1	8541213	8614686	.	0	-	8541213	8541213	0,0,0	2	98,44	0,73429	circRNA	chr1|8541213|8614686|2|98,44|0,73429	chr1|8541213|8614686|2|98,44|0,73429	2,1	None|None	chr1|8541213|8614686|-|2|98,44|0,73429	chr1|8541213|8614686|2|98,44|0,73429	3	3	TRUE	FALSE	rescued
chr1	20904882	20942330	.	0	-	20904882	20904882	0,0,0	2	68,153	0,37295	circRNA	chr1|20904882|20942330|2|68,153|0,37295	chr1|20904882|20942330|2|68,153|0,37295	2,1	None|None	chr1|20904882|20942330|-|2|68,153|0,37295	chr1|20904882|20942330|2|68,153|0,37295	1	5	TRUE	FALSE	rescued
chr1	23030468	23044486	.	0	+	23030468	23030468	0,0,0	2	57,62	0,13956	circRNA	chr1|23030468|23044486|2|57,62|0,13956	chr1|23030468|23044486|2|57,62|0,13956	1,2	None|None	chr1|23030468|23044486|+|2|57,62|0,13956	chr1|23030468|23044486|2|57,62|0,13956	1	2	TRUE	FALSE	rescued
chr1	23030468	23050520	.	0	+	23030468	23030468	0,0,0	2	25,77	0,19975	circRNA	chr1|23030468|23050520|2|25,77|0,19975	chr1|23030468|23050520|2|25,77|0,19975	1,2	None|None	chr1|23030468|23050520|+|2|25,77|0,19975	chr1|23030468|23050520|2|25,77|0,19975	13	16	TRUE	FALSE	rescued
chr1	235437321	235438922	.	0	+	235437321	235437321	0,0,0	2	13,47	0,1554	circRNA	chr1|235437321|235442911|4|13,47,69,60|0,1554,4492,5530	chr1|235437321|235442911|4|13,47,69,60|0,1554,4492,5530	1,2	None|chr1:235438922-235441813	chr1|235437321|235438922|+|2|13,47|0,1554	chr1|235437321|235438922|2|13,47|0,1554	2	NA	FALSE	FALSE	new
chr1	235437321	235441882	.	0	+	235437321	235437321	0,0,0	3	13,47,69	0,1554,4492	circRNA	chr1|235437321|235442911|4|13,47,69,60|0,1554,4492,5530	chr1|235437321|235442911|4|13,47,69,60|0,1554,4492,5530	1,2,3	None|chr1:235441882-235442851	chr1|235437321|235441882|+|3|13,47,69|0,1554,4492	chr1|235437321|235441882|3|13,47,69|0,1554,4492	1	1	FALSE	FALSE	new
chr10	68737844	68742569	.	0	+	68737844	68737844	0,0,0	4	45,33,32,64	0,2784,4531,4661	circRNA	chr10|68737844|68742569|4|45,33,32,64|0,2784,4531,4661	chr10|68737844|68742569|4|45,33,32,64|0,2784,4531,4661	1,2,3,4	None|None	chr10|68737844|68742569|+|4|45,33,32,64|0,2784,4531,4661	chr10|68737844|68742569|4|45,33,32,64|0,2784,4531,4661	2	3	TRUE	FALSE	rescued
chr10	68740628	68742569	.	0	+	68740628	68740628	0,0,0	3	33,32,64	0,1747,1877	circRNA	chr10|68737844|68742569|4|45,33,32,64|0,2784,4531,4661	chr10|68737844|68742569|4|45,33,32,64|0,2784,4531,4661	2,3,4	chr10:68737889-68740628|None	chr10|68740628|68742569|+|3|33,32,64|0,1747,1877	chr10|68740628|68742569|3|33,32,64|0,1747,1877	NA	1	FALSE	FALSE	new
chr10	101956596	101957732	.	0	-	101956596	101956596	0,0,0	2	86,83	0,1053	circRNA	chr10|101956596|101957732|2|86,83|0,1053	chr10|101956596|101957732|2|86,83|0,1053	2,1	None|None	chr10|101956596|101957732|-|2|86,83|0,1053	chr10|101956596|101957732|2|86,83|0,1053	1	NA	TRUE	FALSE	rescued
chr10	102157018	102158214	.	0	+	102157018	102157018	0,0,0	2	56,121	0,1075	circRNA	chr10|102157018|102158214|2|56,121|0,1075	chr10|102157018|102158214|2|56,121|0,1075	1,2	None|None	chr10|102157018|102158214|+|2|56,121|0,1075	chr10|102157018|102158214|2|56,121|0,1075	6	7	TRUE	FALSE	rescued
